"Gene.symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"NT5C3AP1"	3.64727461740139	3.45259016374798	20.1212266843672	1.65950936784467e-12	2.23807467927052e-10	19.0015084598928
"GBP1P1"	3.64424547540719	3.57007323795568	13.1894859820304	8.03134305129364e-10	3.2274033634115e-08	12.896255058646
"GMPR"	3.62293280646298	4.28281046996995	24.4908269221295	8.68120499994232e-14	2.08841637039153e-11	21.9553998922992
"PLSCR1"	3.6194796009345	5.99952561959141	43.1552287912869	1.5467626673865e-17	1.9668192146296e-14	30.4239439649521
"NCF1"	3.61833619544868	5.51822887700957	27.2917659194647	1.68680834606804e-14	5.03141482832971e-12	23.6399077050853
"TNFSF13B"	3.61236671100878	5.27520737765792	30.8045349485378	2.67930599446424e-15	1.28910825171493e-12	25.4289649432964
"MARCKS"	3.57777066711193	3.33794128767043	18.2474711947525	7.09952603678349e-12	7.14043855970732e-10	17.5901809723071
"LINC01378"	3.56642036525355	3.49834574517647	20.0658440783156	1.72918602182447e-12	2.2972365343671e-10	18.9725784403279
"NT5C3A"	3.56425384866135	4.8250479354698	20.2031139095137	1.561899565264e-12	2.13884123544844e-10	19.1183142137632
"CCL2"	3.55389382631433	2.87024123678327	10.6271114555808	1.65358923780765e-08	3.90413734899891e-07	9.89820033735165
"MCOLN2"	3.48194723756683	2.55707931949672	15.810163407099	5.85516717495181e-11	3.99362781794989e-09	15.4725005380044
"CCL3L3"	3.47514602152178	2.19695559102751	11.0177902811912	1.00625590917059e-08	2.60747710262808e-07	10.4338357781923
"TLR3"	3.42251444584689	1.8357637794332	15.6424195745413	6.84197369560114e-11	4.52791136539373e-09	15.1974208193126
"IL15RA"	3.41903561450835	3.80189050552794	17.9090489781003	9.36622999987463e-12	8.91268703541642e-10	17.3467611812864
"RTP4"	3.40908959378469	3.1261603767381	19.2637134351415	3.17549834536167e-12	3.69478572183846e-10	18.3401761603561
"CLEC4E"	3.37387303454426	2.99079607584453	24.0265403323881	1.15872899977091e-13	2.64457610947714e-11	21.365194533332
